date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:28	21517/21517	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Jan%202022%2014:06:27%20GMT	https://www.shecodes.io/demos/react	C:/Users/Parvin/Desktop/test/www.shecodes.io/demos/react.html	(from )
17:36:29	98/98	---MCZ	200	added ('OK')	text/plain	date:Sun,%2016%20Jan%202022%2001:50:32%20GMT	https://www.shecodes.io/robots.txt		(from )
17:36:30	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2017%20Jan%202022%2014:06:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Parvin/Desktop/test/www.googletagmanager.com/gtm.15445.delayed	(from https://www.shecodes.io/demos/react)
17:36:30	686/686	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/favicon-16x16-68ffe6b5b87c6d0e54fa5e326b5fee611fb3927c3af10fb0c19666e644309226.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/favicon-16x16-68ffe6b5b87c6d0e54fa5e326b5fee611fb3927c3af10fb0c19666e644309226.png	(from https://www.shecodes.io/demos/react)
17:36:30	1781/1781	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/favicon-32x32-ef9cc1de3ba7ad6d82e9ad4858c30f59678a695c9c78b52b826bd74f7fc3a02c.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/favicon-32x32-ef9cc1de3ba7ad6d82e9ad4858c30f59678a695c9c78b52b826bd74f7fc3a02c.png	(from https://www.shecodes.io/demos/react)
17:36:31	9609/9609	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/favicon-96x96-82ee0bebcc08c010eeff011b5297cbccd3eeb5bfbc62e1b407e512ba2bfaad1a.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/favicon-96x96-82ee0bebcc08c010eeff011b5297cbccd3eeb5bfbc62e1b407e512ba2bfaad1a.png	(from https://www.shecodes.io/demos/react)
17:36:31	2174/2174	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/android-icon-36x36-2147ac2ad42ca69e83fa7f2af4740bf57b880f1b422ae8e69b24a36ef3939775.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/android-icon-36x36-2147ac2ad42ca69e83fa7f2af4740bf57b880f1b422ae8e69b24a36ef3939775.png	(from https://www.shecodes.io/demos/react)
17:36:32	3249/3249	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/android-icon-48x48-b834f4c667cde22d13a462f73a02d8f56e882390aae773f74bb2fbe6dc839bbe.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/android-icon-48x48-b834f4c667cde22d13a462f73a02d8f56e882390aae773f74bb2fbe6dc839bbe.png	(from https://www.shecodes.io/demos/react)
17:36:32	6266/6266	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/android-icon-72x72-24ef8ee7d4e7fa5ea6db157d87a913ef37aeb70df46621828282cdd413b9147d.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/android-icon-72x72-24ef8ee7d4e7fa5ea6db157d87a913ef37aeb70df46621828282cdd413b9147d.png	(from https://www.shecodes.io/demos/react)
17:36:33	9609/9609	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/android-icon-96x96-82ee0bebcc08c010eeff011b5297cbccd3eeb5bfbc62e1b407e512ba2bfaad1a.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/android-icon-96x96-82ee0bebcc08c010eeff011b5297cbccd3eeb5bfbc62e1b407e512ba2bfaad1a.png	(from https://www.shecodes.io/demos/react)
17:36:33	17791/17791	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/android-icon-144x144-bb382ffc4aee9f606377e914551167ec0d942345a84b19d92961f57539947670.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/android-icon-144x144-bb382ffc4aee9f606377e914551167ec0d942345a84b19d92961f57539947670.png	(from https://www.shecodes.io/demos/react)
17:36:33	26392/26392	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/android-icon-192x192-5fbaa0447d5d03151119d7f0cfc97a9003d739362c3c23fcf949c962af845315.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/android-icon-192x192-5fbaa0447d5d03151119d7f0cfc97a9003d739362c3c23fcf949c962af845315.png	(from https://www.shecodes.io/demos/react)
17:36:33	4357/4357	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/apple-icon-57x57-1559d22a13cd9a0756b17878e28b8ed09366ba7afaf8c2e16382c06c3e60b34d.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/apple-icon-57x57-1559d22a13cd9a0756b17878e28b8ed09366ba7afaf8c2e16382c06c3e60b34d.png	(from https://www.shecodes.io/demos/react)
17:36:34	4527/4527	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/apple-icon-60x60-b850d92320a041637170c52e5481eddac7e1046ddb1ef37cdd4c41310ec37baa.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/apple-icon-60x60-b850d92320a041637170c52e5481eddac7e1046ddb1ef37cdd4c41310ec37baa.png	(from https://www.shecodes.io/demos/react)
17:36:34	6266/6266	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/apple-icon-72x72-24ef8ee7d4e7fa5ea6db157d87a913ef37aeb70df46621828282cdd413b9147d.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/apple-icon-72x72-24ef8ee7d4e7fa5ea6db157d87a913ef37aeb70df46621828282cdd413b9147d.png	(from https://www.shecodes.io/demos/react)
17:36:34	6689/6689	---M--	200	added ('OK')	image/png	date:Wed,%2026%20May%202021%2008:56:12%20GMT	https://www.shecodes.io/assets/favicons/apple-icon-76x76-a280df20587f4b345923f09d4326c7ba7365b4a1249aee4725ca302a2dabe392.png	C:/Users/Parvin/Desktop/test/www.shecodes.io/assets/favicons/apple-icon-76x76-a280df20587f4b345923f09d4326c7ba7365b4a1249aee4725ca302a2dabe392.png	(from https://www.shecodes.io/demos/react)
